新闻类别	标题	发布时间	链接详情	新闻内容
education	电子科技大学信息与通信工程学院师生赴四川开展红色实践研学活动	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340251.html	近日，为纪念中国工农红军长征出发90周年，电子科技大学信息与通信工程学院党委组织师生党员骨干前往四川长征干部学院泸州四渡赤水分院，开展以“弘扬长征精神，赓续红色血脉”为主题的红色实践研学活动。
education	电子科技大学信息与通信工程学院师生赴四川开展红色实践研学活动	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340251.html	师生们通过专题教学、现场教学、访谈教学等多样化的教学环节，参观青杠坡战斗遗址、红军总司令部旧址和女红军纪念馆等地，重温四渡赤水历史，感悟伟大长征精神。
education	电子科技大学信息与通信工程学院师生赴四川开展红色实践研学活动	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340251.html	在太平渡渡口，师生们聆听微党课《突围之痛》，并在渡口纪念碑前重温入党誓词。
education	电子科技大学信息与通信工程学院师生赴四川开展红色实践研学活动	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340251.html	中国好人、78岁的井冈山红军后代胡敬华老先生向师生们讲述了父辈的革命事迹，并勉励大家传承长征精神，为党和国家事业接续奋斗。师生们深受鼓舞，纷纷表示，我们要从长征精神中汲取前进力量，践行学科使命和担当，努力走好新时代科技报国长征路，为实现高水平科技自立自强贡献智慧和力量。
education	电子科技大学信息与通信工程学院师生赴四川开展红色实践研学活动	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340251.html	此次实践研学活动是学院党委“立爱国志 行长征路”学科特色型实践育人工程的重要环节。自2018年起，该工程已在四川、陕西、贵州、云南、福建、江西、湖南、广东、福建、西藏等 20 余地建立实践育人基地，形成了“重走二万五千里长征路”和“走好新时代长征路”的学科实践教育链。
education	第60届北京市中学生田径运动会开幕	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340088.html	人民网北京10月16日电 （记者李昉）近日，第60届北京市中学生田径运动会暨北京学生金奥运动队田径运动会在北京景山学校京西实验学校开幕，来自北京市超过3000名师生及200名裁判参与其中。
education	第60届北京市中学生田径运动会开幕	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340088.html	本届运动会以“以体育人 向阳而生”为主题，其中一大亮点是山地运动会的创新加入，不仅融合了门头沟区的地理文化与红色革命传统，更为学生们提供了别具一格的运动体验。通过登山、露营、虚拟自行车、山地自行车、皮划艇等项目，让师生共同在大自然中享受运动的乐趣。
education	第60届北京市中学生田径运动会开幕	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340088.html	北京市教委相关负责人表示，山地运动会的举办，不仅丰富了中运会的赛事内容，更展现了体教融合的新风采与独特魅力，这为北京市学校体育教育的发展开辟了新的路径与方向。
education	第60届北京市中学生田径运动会开幕	2024-10-16	http://edu.people.com.cn/n1/2024/1016/c1006-40340088.html	据悉，本届运动会还设置了AI体育导师应用平台体验区，学生可以体验AI导师指导下的体育锻炼，AI导师将实时评价、纠错、反馈，并通过运动手环监测运动强度，提供个性化运动处方。
education	第六届中央音乐学院“10·15艺术节”启幕	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339747.html	人民网北京10月15日电 “十年·答卷——第六届中央音乐学院10·15艺术节”于10月15日—31日在北京、延安、济南、长春、厦门等地，以及奥地利、斯洛伐克等国家同时举行。
education	第六届中央音乐学院“10·15艺术节”启幕	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339747.html	作为本届艺术节的启幕之作，《礼赞新时代，奋进新征程——大型原创交响作品音乐会》今晚在北京上演，展示新时代的恢弘气象。
education	第六届中央音乐学院“10·15艺术节”启幕	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339747.html	本届艺术节还将以“听见当代中国”为主题，携中央音乐学院音乐创作中心6位作曲家最新创作的交响乐和室内乐作品，走进奥地利、斯洛伐克，在世界舞台上传播中国声音，展现中华民族现代文明，为中国文化“走出去”贡献积极力量。
education	第六届中央音乐学院“10·15艺术节”启幕	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339747.html	据介绍，艺术节立足人才培养，聚焦国际赛事，将通过举办“新时代卓越艺术人才展演”、“中国艺术评论这十年”研讨会、“辩”——当代音乐创作探讨，联合多家学校和单位，携手培养坚持以人民为中心、心怀“国之大者”、具备深厚文化修养和过硬艺术本领的优秀艺术人才。
education	第六届中央音乐学院“10·15艺术节”启幕	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339747.html	同时，通过举办《少年风华——中央音乐学院附中获奖学生专场音乐会》《中央音乐学院拔尖创新人才专场音乐会》，展现学校近些年拔尖创新人才培养的最新成果；通过举办“2024厦门国际钢琴比赛”，争取世界舞台话语权，增强中国文化影响力。
education	第六届中央音乐学院“10·15艺术节”启幕	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339747.html	此外，艺术节还将推出《红梅花开——于红梅师生胡琴音乐会》《“奏响吉林振兴发展最强音”音乐会》、授渔计划——全国乡村音乐教师培训、首届全国高校文艺志愿服务大会、《我们从延安走来》《“面向未来”音乐人工智能音乐会》等主题鲜明、内容丰富的系列艺术活动。（郝孟佳、实习生田怡婷）
education	河海大学：以教育家精神引领高素质专业化教师队伍建设	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339740.html	强国必先强教，强教必先强师。习近平总书记在全国教育大会上指出，要实施教育家精神铸魂强师行动，加强师德师风建设，提高教师培养培训质量，培养造就新时代高水平教师队伍。这为大力弘扬教育家精神，加强高素质专业化教师队伍建设，巩固好教育强国建设的重要根基提供了根本遵循。
education	河海大学：以教育家精神引领高素质专业化教师队伍建设	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339740.html	一是要以教育家精神为引领，铸就共同价值追求。作为中国水利高等教育肇始之地，河海大学肇启就寄托了爱国进步人士兴学图强、救国救民的强烈愿望。建校之初，黄炎培、许肇南、李仪祉、茅以升等一大批英才俊杰来到河海，他们满怀赤诚报国之志，将西方现代水利科技和教育理念融入办学治校，培养了一批投身民族解放事业的爱国先驱和怀揣治水救国理想的水利英才。在华东水利学院时期，钱正英、严恺、黄文熙、徐芝纶、刘光文、伍正诚、张书农、顾兆勋、沙玉清、郑肇经、赵人俊、刘宅仁、钱家欢等一大批名师大家，提出的“爱国爱水”的办学思想，“艰苦朴素、实事求是、严格要求、勇于探索”的校训精神，“学无止境，教亦无止境”的教学理念，“国为重，家为轻；科学为重，名利为轻”的思想境界，成为广大师生校友做人做事的行为准绳。1985年，学校恢复传统校名“河海大学”，恰逢国家设立第一个教师节。“新河海”培养的首位院士吴中如先生，坚持“把自己的事业跟祖国的繁荣富强结合起来”，提出了多个“国内外首次”的创新理论，并在佛子岭、龙羊峡等百余项大型工程中得到应用，成为当之无愧的“中国大坝安全的守护者”。“全国模范教师”彭世彰教授，宁肯透支生命也绝不辜负使命，把生命定格在三尺讲台。他提出的“节水灌溉技术”推广应用于超亿亩水稻灌区，为农田增值、农民增收、农业增效作出了巨大贡献。在学校百余年的历史长河里，河海的名师大家，共同铸就了河海师者“爱国爱水”的时代底色，积淀为河海师者的精神传承，也融入进教育家精神的本质内涵，成为河海教师共同的价值追求。
education	河海大学：以教育家精神引领高素质专业化教师队伍建设	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339740.html	二是要以教育家精神为引领，聚力推动教师发展。党的二十大报告首次对教育、科技、人才作出“三位一体”战略部署，赋予教育前所未有的使命责任。党的二十届三中全会进一步提出构建支持全面创新体制机制，对深化教育综合改革作出系统部署。近年来，学校坚持兴教先强师、兴校先兴才，聚焦完善工作体制机制，成立党委教师工作委员会，加强党对教师工作的全面领导，深化教师思想政治和师德师风建设，建立“学校党委-二级党组织-教师党支部”三级联动机制，健全责任落实体系。聚焦建设高水平师资队伍，加大专项资金投入，制定有竞争力的支持政策，实施靶向引才、体系化育才，形成“引进一个、带动一批、辐射一片”的发展效应，促进提升人才集聚度。聚焦搭建教师发展平台，一体化推进“学科-平台-团队”建设，发挥学科建设、重大平台、重大任务对教师发展的引领支撑作用。将发展学科作为“先手棋”，强化优势学科建设，深化学科交叉融合，夯实学院主体责任；将建设高能级科研平台作为“强引擎”，加快推进国家级平台以增量资源获取和增量成果产出为导向的实体化运行，布局培育新的国家级平台；将有组织科研作为“关键招”，以重大任务为牵引，健全建制化有组织科研体系，组建高水平创新团队，促进青年人才在重大科技任务中挑大梁、当主角。聚焦优化教师发展环境，统筹抓好教师、管理、专技等各支队伍建设，畅通多元化发展路径。深化人事制度改革，突出立德树人、创新突破、质量贡献评价导向，强化绩效管理，优化资源配置，提升队伍发展内驱动力。
